,order_id,order_line,order_date,model,quantity,price,total_price,bikeshop_name,location,category_1,category_2,frame_material,city,state
0,1,1,2011-01-07,Jekyll Carbon 2,1,6070,6070,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY
1,1,2,2011-01-07,Trigger Carbon 2,1,5970,5970,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon,Ithaca,NY
2,2,1,2011-01-10,Beast of the East 1,1,2770,2770,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS
3,2,2,2011-01-10,Trigger Carbon 2,1,5970,5970,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon,Kansas City,KS
4,3,1,2011-01-10,Supersix Evo Hi-Mod Team,1,10660,10660,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
5,3,2,2011-01-10,Jekyll Carbon 4,1,3200,3200,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY
6,3,3,2011-01-10,Supersix Evo Black Inc.,1,12790,12790,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
7,3,4,2011-01-10,Supersix Evo Hi-Mod Dura Ace 2,1,5330,5330,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY
8,3,5,2011-01-10,Synapse Disc 105,1,1570,1570,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum,Louisville,KY
9,4,1,2011-01-11,Synapse Carbon Disc Ultegra D12,1,4800,4800,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon,Ann Arbor,MI
10,5,1,2011-01-11,Catalyst 3,1,480,480,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum,Denver,CO
11,5,2,2011-01-11,F-Si Black Inc.,2,11190,22380,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon,Denver,CO
12,5,3,2011-01-11,Synapse Disc Tiagra,1,1250,1250,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Aluminum,Denver,CO
13,5,4,2011-01-11,F-Si 2,1,2060,2060,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum,Denver,CO
14,6,1,2011-01-11,SuperX 105,1,1960,1960,Phoenix Bi-peds,"Phoenix, AZ",Road,Cyclocross,Carbon,Phoenix,AZ
15,6,2,2011-01-11,Slice Hi-Mod Dura Ace D12,1,4500,4500,Phoenix Bi-peds,"Phoenix, AZ",Road,Triathalon,Carbon,Phoenix,AZ
16,6,3,2011-01-11,Habit 5,1,2340,2340,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Trail,Aluminum,Phoenix,AZ
17,6,4,2011-01-11,Synapse Carbon 105,1,2240,2240,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Carbon,Phoenix,AZ
18,7,1,2011-01-12,Supersix Evo Hi-Mod Team,1,10660,10660,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
19,7,2,2011-01-12,CAAD12 Ultegra,1,2240,2240,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN
20,7,3,2011-01-12,Supersix Evo Tiagra,1,1840,1840,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
21,7,4,2011-01-12,Scalpel 29 4,1,3200,3200,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
22,7,5,2011-01-12,Habit 5,1,2340,2340,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Trail,Aluminum,Minneapolis,MN
23,7,6,2011-01-12,Scalpel-Si Black Inc.,1,12790,12790,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
24,7,7,2011-01-12,Supersix Evo Ultegra 3,1,3200,3200,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN
25,7,8,2011-01-12,F-Si Hi-Mod Team,1,9060,9060,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
26,7,9,2011-01-12,Scalpel-Si 5,1,3200,3200,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN
27,7,10,2011-01-12,CAAD8 105,2,1410,2820,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN
28,7,11,2011-01-12,Catalyst 3,1,480,480,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
29,7,12,2011-01-12,Slice 105,1,1950,1950,Minneapolis Bike Shop,"Minneapolis, MN",Road,Triathalon,Carbon,Minneapolis,MN
30,7,13,2011-01-12,Scalpel-Si Race,1,9060,9060,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN
31,7,14,2011-01-12,Trail 5,2,815,1630,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN
32,8,1,2011-01-12,Synapse Disc Tiagra,1,1250,1250,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Aluminum,Phoenix,AZ
33,8,2,2011-01-12,Catalyst 3,3,480,1440,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Sport,Aluminum,Phoenix,AZ
34,9,1,2011-01-17,Synapse Carbon Ultegra 4,1,2660,2660,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Carbon,New Orleans,LA
35,9,2,2011-01-17,CAAD12 Red,2,3200,6400,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
36,9,3,2011-01-17,CAAD8 105,1,1410,1410,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
37,9,4,2011-01-17,CAAD12 Disc 105,1,1950,1950,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA
38,9,5,2011-01-17,Synapse Sora,5,1030,5150,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Aluminum,New Orleans,LA
39,10,1,2011-01-17,CAAD8 Tiagra,1,1250,1250,Portland Bi-peds,"Portland, OR",Road,Elite Road,Aluminum,Portland,OR
40,11,1,2011-01-18,CAAD12 Black Inc,1,5860,5860,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA
41,11,2,2011-01-18,CAAD12 Red,2,3200,6400,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA
42,11,3,2011-01-18,Supersix Evo Tiagra,1,1840,1840,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Carbon,San Francisco,CA
43,11,4,2011-01-18,Slice Hi-Mod Dura Ace D12,1,4500,4500,San Francisco Cruisers,"San Francisco, CA",Road,Triathalon,Carbon,San Francisco,CA
44,11,5,2011-01-18,Synapse Hi-Mod Disc Red,1,7460,7460,San Francisco Cruisers,"San Francisco, CA",Road,Endurance Road,Carbon,San Francisco,CA
45,11,6,2011-01-18,Scalpel 29 4,1,3200,3200,San Francisco Cruisers,"San Francisco, CA",Mountain,Cross Country Race,Aluminum,San Francisco,CA
46,11,7,2011-01-18,SuperX Hi-Mod CX1,1,3500,3500,San Francisco Cruisers,"San Francisco, CA",Road,Cyclocross,Carbon,San Francisco,CA
47,12,1,2011-01-20,Synapse Carbon Disc Ultegra,2,3730,7460,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
48,12,2,2011-01-20,Jekyll Carbon 3,1,3840,3840,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY
49,12,3,2011-01-20,F-Si Hi-Mod Team,1,9060,9060,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY
50,12,4,2011-01-20,CAAD12 Black Inc,1,5860,5860,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY
51,12,5,2011-01-20,Synapse Carbon Disc Ultegra D12,1,4800,4800,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
52,12,6,2011-01-20,Slice Hi-Mod Dura Ace D12,1,4500,4500,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon,Louisville,KY
53,12,7,2011-01-20,Synapse Carbon Ultegra 3,1,3200,3200,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
54,12,8,2011-01-20,Syapse Carbon Tiagra,1,1840,1840,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
55,12,9,2011-01-20,Synapse Hi-Mod Disc Black Inc.,1,9590,9590,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
56,12,10,2011-01-20,CAAD12 Red,1,3200,3200,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY
57,12,11,2011-01-20,Synapse Carbon Ultegra 4,1,2660,2660,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY
58,12,12,2011-01-20,Scalpel 29 Carbon 2,1,5330,5330,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY
